21,"tool"
19,"technology"
17,"environment"
14,"setup"
11,"strategy"
11,"preparation"
10,"concept"
10,"execution"
10,"automation"
10,"assessment"
10,"evaluation"
9,"theory"
9,"curriculum"
9,"syllabus"
7,"technique"
6,"task"
6,"activity"
5,"mission"
5,"time"
5,"exercise"
5,"knowledge"
5,"material"
4,"remote"
4,"configuration"
4,"level"
4,"project"
4,"mindset"
4,"understanding"
4,"teaching"
4,"training"
4,"skill"
4,"gradual"
4,"industry"
3,"organization"
3,"class"
3,"example"
3,"criteria"
3,"schedule"
3,"lab"
3,"cd"
3,"standard"
3,"score"
3,"sample"
3,"learning"
3,"grade"
2,"planning"
2,"integration"
2,"combination"
2,"conversation"
2,"model"
2,"hardware"
2,"background"
2,"cloud"
2,"break"
2,"course"
2,"running"
2,"principle"
2,"build"
2,"limitation"
2,"script"
2,"pause"
2,"improvement"
2,"practice"
2,"approach"
2,"evolution"
2,"convention"
2,"change"
2,"update"
2,"advance"
2,"communication"
2,"restriction"
2,"service"
2,"experience"
2,"scenario"
2,"university"
2,"academy"
2,"resource"
2,"operation"
2,"stack"
2,"culture"
2,"motivation"
2,"deployment"
2,"interaction"
2,"history"
2,"pipeline"
2,"continuous delivery"
2,"management"
2,"continuous deployment"
1,"relation"
1,"mandatory"
1,"realistic"
1,"software"
1,"report"
1,"progress"
1,"migration"
1,"development"
1,"subject"
1,"pair programming"
1,"agile"
1,"hierarchy"
1,"virtualbox"
1,"requisite"
1,"justification"
1,"licence"
1,"minimum viable product"
1,"flexibility"
1,"system"
1,"collaboration"
1,"analyse"
1,"prerequisite"
1,"bamboo"
1,"ci"
1,"support"
1,"professional"
1,"vm"
1,"network"
1,"monitoring"
1,"reference"
1,"hands-on"
1,"lecture"
1,"tutorial"
1,"subjectivity"
1,"container"
1,"metric"
1,"taxonomy"
1,"quiz"
1,"installation"
1,"paper"
1,"literature"
1,"scale"
1,"virtualization"
1,"answer"
1,"supervision"
1,"participation"
1,"description"
1,"interconnection"
1,"freedom"
1,"institution"
1,"research"
1,"publication"
1,"multidisciplinary"
1,"test"
1,"application"
1,"open source"
1,"katacoda"
1,"quantitative"
1,"exam"
1,"linking"
1,"telemetry"
1,"state of the art"
1,"coding"
1,"production"
1,"rule"
1,"continuous integration"
1,"merge"
1,"demonstration"
1,"jira"
1,"mvp"
1,"up-to-date"
1,"discussion"
1,"optional"
1,"partnership"
1,"docker"
1,"feature"
1,"github"
1,"focus"
1,"case study"
1,"story"
1,"content"
1,"process"
1,"kubernetes"
1,"solution"
1,"debug"
1,"infrastructure"
1,"traditional"
1,"book"
1,"spring"
1,"popular"
1,"virtual machine"
